,사고번호,사고일시,요일,도로종류,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,연령대,가해연령대
2310,2019012100100034,1,월요일,경인,인천광역시,중상사고,0,1,0,0,차대차 - 측면충돌,차로위반,포장 - 건조,맑음,단일로 - 교량,승용,0,34,상해없음,승용,0,64,중상,30.0,30.0
2311,2019012400100522,20,목요일,경인,경기도,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,1,27,경상,화물,0,54,상해없음,20.0,20.0
2312,2019021100100457,19,월요일,경인,인천광역시,중상사고,0,1,3,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,1,32,상해없음,승용,0,27,중상,30.0,30.0
2313,2019021800100032,0,월요일,경인,경기도,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,0,26,상해없음,승용,0,55,중상,20.0,20.0
2314,2019022300100416,16,토요일,경인,인천광역시,경상사고,0,0,2,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,0,27,상해없음,승용,0,26,경상,20.0,20.0
2315,2019022800100431,17,목요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,단일로 - 교량,승용,0,33,상해없음,승용,0,42,경상,30.0,30.0
2316,2019030400100036,3,월요일,경인,인천광역시,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,승용,0,50,상해없음,화물,0,25,경상,40.0,40.0
2317,2019031400100310,13,목요일,경인,경기도,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,1,31,상해없음,승용,0,38,경상,,
2318,2019031800100460,18,월요일,경인,경기도,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 교량,승용,0,55,상해없음,화물,0,48,경상,50.0,50.0
2319,2019032000100452,17,수요일,경인,인천광역시,중상사고,0,1,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 젖음/습기,흐림,단일로 - 기타,승용,0,43,상해없음,승용,0,36,중상,40.0,40.0
2320,2019032300100351,14,토요일,경인,인천광역시,경상사고,0,0,3,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,화물,0,55,상해없음,승용,0,35,경상,50.0,50.0
